Model,Noise (%),Accuracy,Precision,Recall,F1-Score,MCC,AUC-ROC
SVM,0,0.7704918032786885,0.7714285714285715,0.8181818181818182,0.7941176470588235,0.5365478031139463,0.841991341991342
SVM,10,0.7704918032786885,0.7714285714285715,0.8181818181818182,0.7941176470588235,0.5365478031139463,0.8419913419913421
SVM,20,0.7704918032786885,0.7714285714285715,0.8181818181818182,0.7941176470588235,0.5365478031139463,0.8441558441558441
SVM,30,0.7704918032786885,0.7714285714285715,0.8181818181818182,0.7941176470588235,0.5365478031139463,0.8354978354978355
SVM,40,0.7377049180327869,0.7428571428571429,0.7878787878787878,0.7647058823529411,0.4700245998823392,0.8317099567099566
SVM,50,0.7540983606557377,0.7647058823529411,0.7878787878787878,0.7761194029850746,0.5038028898850895,0.8214285714285714
MLP,0,0.7540983606557377,0.78125,0.7575757575757576,0.7692307692307693,0.5064806629719167,0.8300865800865802
MLP,10,0.7540983606557377,0.78125,0.7575757575757576,0.7692307692307693,0.5064806629719167,0.8279220779220778
MLP,20,0.7704918032786885,0.7878787878787878,0.7878787878787878,0.7878787878787878,0.5378787878787878,0.8106060606060607
MLP,30,0.7540983606557377,0.78125,0.7575757575757576,0.7692307692307693,0.5064806629719167,0.8116883116883117
MLP,40,0.7213114754098361,0.7352941176470589,0.7575757575757576,0.746268656716418,0.4375701823786445,0.8062770562770563
MLP,50,0.7213114754098361,0.75,0.7272727272727273,0.7384615384615385,0.4406057793017954,0.7997835497835498
Random Forest,0,0.7540983606557377,0.7647058823529411,0.7878787878787878,0.7761194029850746,0.5038028898850895,0.8587662337662337
Random Forest,10,0.7704918032786885,0.7714285714285715,0.8181818181818182,0.7941176470588235,0.5365478031139463,0.8544372294372294
Random Forest,20,0.7540983606557377,0.7647058823529411,0.7878787878787878,0.7761194029850746,0.5038028898850895,0.8533549783549783
Random Forest,30,0.7868852459016393,0.7941176470588235,0.8181818181818182,0.8059701492537313,0.5700355973915344,0.854978354978355
Random Forest,40,0.7868852459016393,0.7777777777777778,0.8484848484848485,0.8115942028985508,0.5702248022984665,0.8452380952380952
Random Forest,50,0.819672131147541,0.8055555555555556,0.8787878787878788,0.8405797101449275,0.6371165579527096,0.8338744588744589
XGBoost,0,0.7213114754098361,0.7352941176470589,0.7575757575757576,0.746268656716418,0.4375701823786445,0.8322510822510822
XGBoost,10,0.7213114754098361,0.6904761904761905,0.8787878787878788,0.7733333333333333,0.446027198621549,0.7662337662337663
XGBoost,20,0.7213114754098361,0.6904761904761905,0.8787878787878788,0.7733333333333333,0.446027198621549,0.7835497835497836
XGBoost,30,0.7213114754098361,0.6904761904761905,0.8787878787878788,0.7733333333333333,0.446027198621549,0.7846320346320346
XGBoost,40,0.7377049180327869,0.7073170731707317,0.8787878787878788,0.7837837837837838,0.4779147327893606,0.7662337662337663
XGBoost,50,0.7377049180327869,0.7073170731707317,0.8787878787878788,0.7837837837837838,0.4779147327893606,0.7759740259740261
