Model,Scenario,Noise Level,Accuracy,Precision,Recall,F1-Score,MCC,AUC-ROC,Decay Rate (F1) (%),Decay Rate (MCC) (%),Decay Rate (AUC-ROC) (%)
MLP,Train Noisy / Test Pristine,0,0.9824675324675326,0.9814359678782756,0.9845843455346481,0.9828032403355753,0.9652417003407848,0.9935818886645397,0.0,0.0,0.0
MLP,Train Noisy / Test Pristine,10,0.9766233766233766,0.9767512182387748,0.9781332574728218,0.9771059307095411,0.9537107091431258,0.9929519670684602,0.5796999228542306,1.1946221545948439,0.06339906184543184
MLP,Train Noisy / Test Pristine,20,0.9714285714285713,0.9724266515068527,0.9721758224293995,0.9721554486773119,0.9429847091164287,0.994119173112719,1.0834103125899142,2.305846423387854,0.0
MLP,Train Noisy / Test Pristine,30,0.9642857142857142,0.9698044183574257,0.9607991177908367,0.965132994244336,0.9286502636901159,0.991366446485376,1.7979434098330704,3.7909092238503623,0.2229752982053087
MLP,Train Noisy / Test Pristine,40,0.9493506493506493,0.9419226082110519,0.960716330738421,0.9509981816300896,0.899042035967293,0.9883037886243147,3.2361572896957402,6.858351058612529,0.5312194294643617
MLP,Train Noisy / Test Pristine,50,0.9454545454545455,0.9435754142256997,0.9513694897723678,0.9471817759411578,0.8912441696549708,0.9856100679107488,3.624475676561124,7.666217762834816,0.8023315284566731
MLP,Train Pristine / Test Noisy,0,0.9824675324675326,0.9814359678782756,0.9845843455346481,0.9828032403355753,0.9652417003407848,0.9935818886645397,0.0,0.0,0.0
MLP,Train Pristine / Test Noisy,10,0.9792207792207792,0.9774893555317336,0.9820150697904229,0.9795026637113114,0.9588386405632005,0.9926845554299849,0.3358329000967569,0.6633633602157607,0.09031296210127768
MLP,Train Pristine / Test Noisy,20,0.9668831168831169,0.9733910685647851,0.9620821778412776,0.9675121851341792,0.9340269811170089,0.9913734786206977,1.5558612928641726,3.233875951769944,0.22226754221640194
MLP,Train Pristine / Test Noisy,30,0.9525974025974027,0.9528820017174272,0.953978469258326,0.9533543448281779,0.9050846459997149,0.9871142149393373,2.996418234980802,6.232330650429944,0.650945211360034
MLP,Train Pristine / Test Noisy,40,0.9318181818181819,0.9335079048615624,0.9326647455906116,0.9328237054068393,0.8637912774807506,0.9816975708050683,5.085405997610529,10.510364691477433,1.196108543750226
MLP,Train Pristine / Test Noisy,50,0.9123376623376623,0.9128884255875729,0.9160643403087152,0.9142606711867403,0.8244879787789043,0.9729666800097242,6.974190390889573,14.582225520528844,2.0748374029365717
Random Forest,Train Noisy / Test Pristine,0,0.9922077922077921,0.9924639735412237,0.9919463087248321,0.9920865047324152,0.9846004969586335,0.9997717341531145,0.0,0.0,0.0
Random Forest,Train Noisy / Test Pristine,10,0.9811688311688311,0.9822922280753605,0.9808979645905008,0.9815304032967427,0.9623784193020203,0.9980688196274782,1.0640303426483682,2.2569638879175624,0.17033033316138058
Random Forest,Train Noisy / Test Pristine,20,0.9714285714285713,0.9670631223031594,0.9768711189529169,0.9719018609603959,0.9428457081176452,0.9943251197282565,2.034564896885028,4.240784863502109,0.544785798477455
Random Forest,Train Noisy / Test Pristine,30,0.9551948051948053,0.9460098081640098,0.9680992282669157,0.9567545452545876,0.9106937651780596,0.9904523584167414,3.561378902876755,7.506265943280244,0.9321503517267707
Random Forest,Train Noisy / Test Pristine,40,0.9428571428571428,0.9357589822766389,0.9541725228038149,0.9446638016557525,0.8859553246294603,0.9827839047750219,4.780097587301982,10.018801801733975,1.6991708004710349
Random Forest,Train Noisy / Test Pristine,50,0.925974025974026,0.9206296387220515,0.9370275096425484,0.9284114176424365,0.8524191525168778,0.9777135808405258,6.418299894841641,13.424870782622515,2.206318958524432
Random Forest,Train Pristine / Test Noisy,0,0.9922077922077921,0.9924639735412237,0.9919463087248321,0.9920865047324152,0.9846004969586335,0.9997717341531145,0.0,0.0,0.0
Random Forest,Train Pristine / Test Noisy,10,0.9844155844155844,0.9846414582025883,0.984538874505948,0.9845471437826004,0.9688364013452977,0.9990996758646788,0.759949955356795,1.601065169277292,0.06722117314157977
Random Forest,Train Pristine / Test Noisy,20,0.9668831168831169,0.9610488620068125,0.9744230553299037,0.967577435655727,0.933915665737391,0.9954339696626088,2.4704568563100078,5.147756006401031,0.43387548800628395
Random Forest,Train Pristine / Test Noisy,30,0.9512987012987013,0.9447512059241998,0.960502542756735,0.9524917885372682,0.9026140175260835,0.9904537707722829,3.9910548128891685,8.326877722060964,0.9320090839260047
Random Forest,Train Pristine / Test Noisy,40,0.9357142857142857,0.9259064627240928,0.9510058662165065,0.9381741088701763,0.8715786015036638,0.9825337082595084,5.434243446016853,11.478959822190513,1.724196164458289
Random Forest,Train Pristine / Test Noisy,50,0.9246753246753248,0.9167899599984475,0.9378688365683262,0.9270962515221168,0.8493901864965885,0.9776158054797495,6.550865564674474,13.732504795569453,2.2160987269892
SVM,Train Noisy / Test Pristine,0,0.8766233766233766,0.8592264624573349,0.9113188696573331,0.8838235179277187,0.755217492089797,0.9473291602898198,0.0,0.0,0.0
SVM,Train Noisy / Test Pristine,10,0.8727272727272727,0.8528136238629151,0.9113042657873077,0.8805417246681705,0.7474425812395296,0.9471702219254802,0.3713177113959353,1.0294929515937425,0.016777522639653816
SVM,Train Noisy / Test Pristine,20,0.8785714285714284,0.8559545106432266,0.9202640299366408,0.8864267241109843,0.7594323409992974,0.9469747898601041,0.0,0.0,0.03740731781204137
SVM,Train Noisy / Test Pristine,30,0.868831168831169,0.845381147816726,0.9139902073736617,0.8775220743717528,0.7409700124221372,0.9455607764678288,0.7129753200888805,1.8865399460273313,0.1866704727478317
SVM,Train Noisy / Test Pristine,40,0.8688311688311687,0.8445382249495983,0.9151714742348831,0.8777277785867692,0.7407436305091444,0.94481369094861,0.6897009660075667,1.9165156702874269,0.26553276798111697
SVM,Train Noisy / Test Pristine,50,0.8740259740259739,0.8516151580835724,0.9160497043891869,0.8819964936860323,0.7506795864474164,0.9432452999588582,0.20671821971542942,0.6008740117795219,0.4310920113250026
SVM,Train Pristine / Test Noisy,0,0.8766233766233766,0.8592264624573349,0.9113188696573331,0.8838235179277187,0.755217492089797,0.9473291602898198,0.0,0.0,0.0
SVM,Train Pristine / Test Noisy,10,0.8746753246753247,0.8551736741222344,0.9126449010556538,0.8822980984697584,0.7516315168489243,0.9471682922840572,0.17259321878387907,0.47482682517719077,0.016981215453500224
SVM,Train Pristine / Test Noisy,20,0.8740259740259739,0.8584302210537794,0.9064717626368131,0.881018308875485,0.7500682981603948,0.9457474808572615,0.31739470554155463,0.6818160309229203,0.16696197043850014
SVM,Train Pristine / Test Noisy,30,0.8746753246753247,0.854044898184538,0.9135910456094638,0.8824244368842507,0.7509510835129772,0.9445971372331311,0.15829868917139486,0.5649244914884106,0.28839216306325033
SVM,Train Pristine / Test Noisy,40,0.8727272727272727,0.8556707071123398,0.9054396946289709,0.8794714891364273,0.7466067017698172,0.9441715821656169,0.49240925399853464,1.140173580481099,0.3333137262698544
SVM,Train Pristine / Test Noisy,50,0.8668831168831168,0.8565069278215546,0.8905197397802862,0.872941319488915,0.7339814881881439,0.9406750737552112,1.2312637328681895,2.811905725712208,0.7024049098808413
XGBoost,Train Noisy / Test Pristine,0,0.9902597402597403,0.9889136776832356,0.9919463087248321,0.9902954599562959,0.9807123825137201,0.9977711090158647,0.0,0.0,0.0
XGBoost,Train Noisy / Test Pristine,10,0.9688311688311689,0.9746421997892772,0.9646620487422126,0.9695016815250594,0.9378086938410757,0.9945086818837634,2.0997549995992206,4.3747473201751035,0.3269714970319379
XGBoost,Train Noisy / Test Pristine,20,0.9603896103896105,0.9637716321744201,0.9596522672850958,0.9616253258363878,0.9206790827751163,0.9929389619875973,2.895109114321631,6.1213971403857395,0.48429414167278373
XGBoost,Train Noisy / Test Pristine,30,0.9448051948051948,0.9406399276506404,0.9530398954224125,0.9466975909557741,0.8894428171805618,0.9851726023014044,4.402511246739013,9.306455894767025,1.2626650141119762
XGBoost,Train Noisy / Test Pristine,40,0.935064935064935,0.9387249808137696,0.9335553422830518,0.9359984671787993,0.8700057792145856,0.9811779122077734,5.4829083816957835,11.288386409007712,1.6630263853257665
XGBoost,Train Noisy / Test Pristine,50,0.9253246753246753,0.9269499291558116,0.9283131941744527,0.9271853008848406,0.8513196878953634,0.9764838333167052,6.372861597713518,13.193745375856563,2.1334828706511573
XGBoost,Train Pristine / Test Noisy,0,0.9902597402597403,0.9889136776832356,0.9919463087248321,0.9902954599562959,0.9807123825137201,0.9977711090158647,0.0,0.0,0.0
XGBoost,Train Pristine / Test Noisy,10,0.961038961038961,0.9665575364313648,0.9567471978970957,0.9614529922288308,0.9223135326939758,0.9948957885170039,2.9125113558268665,5.954737684667432,0.2881743591169804
XGBoost,Train Pristine / Test Noisy,20,0.940909090909091,0.9447223315274333,0.9387908911404818,0.9416384357075543,0.8817474398506582,0.986925233206674,4.91338456210724,10.09112808481108,1.0870104086185028
XGBoost,Train Pristine / Test Noisy,30,0.9305194805194805,0.9292699405991953,0.9354622224529227,0.9322229395847395,0.8610215437258166,0.9803675794574926,5.864161022622409,12.204479205321848,1.7442406781589204
XGBoost,Train Pristine / Test Noisy,40,0.9058441558441558,0.9036701120381563,0.9140462928007993,0.908689591076943,0.8115128149991235,0.9724617414102645,8.240557710216535,17.25272062752093,2.536590544354776
XGBoost,Train Pristine / Test Noisy,50,0.8922077922077921,0.894566020528846,0.8965435801907194,0.8951171871895424,0.784727253230526,0.9619935803282734,9.611098567588499,19.98395582411771,3.585745103692159
